Date,Open,High,Low,Close,Adj Close,Volume
2025-02-24,182.3,184.0,181.9,183.5,183.5,55430000
2025-02-25,183.1,184.5,182.0,182.7,182.7,43210000
2025-02-26,182.8,185.0,182.3,184.6,184.6,61234000
2025-02-27,184.0,185.2,183.0,183.9,183.9,49876000
2025-02-28,183.5,186.0,182.9,185.7,185.7,52345000
2025-03-03,185.2,187.5,184.5,186.8,186.8,60123000
2025-03-04,186.1,187.8,185.5,187.0,187.0,58934000
2025-03-05,185.7,188.2,185.0,187.9,187.9,62045000
2025-03-06,187.3,189.0,186.2,188.4,188.4,64523000
2025-03-07,188.0,189.5,187.1,189.1,189.1,66789000
